               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035853,            0.020515,           0.0047983,             0.68763,             0.72181,             0.71676,             0.42333,            0.034891,            0.013551,           0.0055568,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035507,            0.020744,           0.0045978,             0.69238,             0.74934,              0.7376,             0.44544,            0.033757,             0.01318,           0.0065598,            0.008218,            0.008218,            0.008218
                  38,            0.035675,            0.020502,           0.0043955,             0.70985,             0.73859,             0.74617,             0.44721,            0.033958,            0.013356,           0.0052833,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035163,            0.020331,           0.0043612,              0.7143,             0.74952,              0.7447,             0.44375,            0.034144,            0.013323,            0.005148,            0.008119,            0.008119,            0.008119
                  40,            0.034729,            0.020116,           0.0043179,             0.71385,             0.75641,             0.74945,              0.4485,            0.033005,             0.01299,           0.0061736,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035137,            0.020113,           0.0041434,             0.69725,             0.75414,             0.74884,             0.43961,            0.033672,            0.013127,           0.0051257,             0.00802,             0.00802,             0.00802
                  42,            0.034819,             0.01987,           0.0041109,             0.69264,             0.74769,             0.73726,             0.42982,             0.03404,            0.013026,           0.0049946,           0.0079705,           0.0079705,           0.0079705
                  43,             0.03488,            0.020106,           0.0046368,             0.72397,             0.72888,             0.74395,             0.43759,            0.033605,            0.013308,           0.0047696,            0.007921,            0.007921,            0.007921
                  44,            0.034475,            0.019591,           0.0041773,             0.71462,             0.75818,             0.75603,              0.4559,            0.033132,            0.012973,           0.0054041,           0.0078715,           0.0078715,           0.0078715
                  45,            0.034623,            0.019669,           0.0040081,             0.71494,             0.76232,             0.75027,             0.44362,            0.033481,            0.012996,           0.0054728,            0.007822,            0.007822,            0.007822
                  46,            0.034383,            0.019466,           0.0041635,             0.73527,             0.73994,             0.75362,             0.45871,            0.033021,            0.013036,           0.0049076,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03423,            0.019418,           0.0041158,             0.72988,             0.74353,             0.75071,             0.44996,            0.032861,            0.013087,           0.0051976,            0.007723,            0.007723,            0.007723
                  48,            0.034035,            0.019891,           0.0040551,             0.72877,             0.77103,             0.76408,             0.46103,            0.033141,            0.012858,           0.0052435,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034093,            0.019613,           0.0037548,             0.72678,             0.75203,             0.75795,             0.46378,            0.032734,            0.012964,           0.0048167,            0.007624,            0.007624,            0.007624
                  50,            0.033793,            0.019427,           0.0038716,             0.71014,             0.74383,             0.74536,             0.45371,            0.032806,             0.01316,           0.0051889,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033445,            0.019654,           0.0036023,             0.72759,             0.76802,             0.77037,             0.46007,            0.032787,            0.013076,           0.0050338,            0.007525,            0.007525,            0.007525
                  52,            0.033555,            0.019294,           0.0035395,             0.73132,             0.74415,              0.7512,             0.45123,            0.032906,            0.012997,           0.0061012,           0.0074755,           0.0074755,           0.0074755
                  53,            0.033028,             0.01891,           0.0034163,             0.71795,             0.78473,             0.77337,             0.47002,            0.032417,            0.012836,           0.0055012,            0.007426,            0.007426,            0.007426
                  54,            0.033231,            0.018989,           0.0035801,             0.74809,             0.77632,             0.77893,             0.45941,             0.03256,            0.012904,           0.0042123,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033444,             0.01939,           0.0033547,             0.72943,              0.7652,             0.77192,             0.46415,            0.033104,            0.012878,           0.0055156,            0.007327,            0.007327,            0.007327
                  56,            0.033192,            0.018892,           0.0034415,             0.74282,             0.77798,             0.76904,             0.46088,            0.032804,            0.012856,           0.0049892,           0.0072775,           0.0072775,           0.0072775
                  57,            0.032548,            0.018895,           0.0034805,             0.74834,             0.76887,             0.76991,              0.4636,            0.032475,             0.01282,           0.0048793,            0.007228,            0.007228,            0.007228
                  58,            0.032593,            0.018724,           0.0031356,             0.74049,             0.77299,             0.76911,             0.46252,            0.032032,            0.012813,           0.0043184,           0.0071785,           0.0071785,           0.0071785
                  59,            0.032577,            0.018566,            0.003213,             0.73852,             0.76409,             0.76601,             0.46688,            0.032404,            0.012807,           0.0046996,            0.007129,            0.007129,            0.007129
                  60,            0.032656,            0.018412,           0.0031393,             0.74412,             0.75964,             0.77563,             0.47616,            0.031663,            0.012716,           0.0042204,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032186,            0.018669,           0.0033666,             0.75007,             0.77347,              0.7761,             0.47127,            0.031982,            0.012881,           0.0045049,             0.00703,             0.00703,             0.00703
                  62,            0.032489,             0.01861,           0.0032908,              0.7485,              0.7705,             0.76782,             0.46489,            0.032111,            0.012909,            0.004464,           0.0069805,           0.0069805,           0.0069805
                  63,            0.031933,            0.018788,           0.0031714,             0.72255,             0.76112,             0.76652,             0.47042,            0.032387,            0.013033,           0.0049487,            0.006931,            0.006931,            0.006931
                  64,            0.032071,            0.018252,           0.0031874,             0.74528,             0.78154,             0.78265,             0.48087,            0.032064,             0.01275,           0.0044825,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032351,              0.0186,           0.0033483,             0.76196,             0.78116,             0.78363,             0.47978,            0.031889,             0.01265,           0.0047334,            0.006832,            0.006832,            0.006832
                  66,            0.031973,             0.01865,           0.0029997,             0.74514,             0.77818,             0.77956,             0.47437,            0.031533,            0.012769,           0.0043809,           0.0067825,           0.0067825,           0.0067825
                  67,            0.031838,            0.018601,           0.0030877,             0.76751,             0.78334,             0.78667,             0.48622,            0.031536,            0.012645,           0.0044369,            0.006733,            0.006733,            0.006733
                  68,            0.031801,            0.018199,           0.0028699,             0.76354,             0.78195,              0.7876,             0.49337,            0.031613,            0.012612,           0.0043888,           0.0066835,           0.0066835,           0.0066835
                  69,             0.03155,            0.017979,           0.0031214,             0.76927,             0.77597,             0.78116,             0.48108,            0.031795,            0.012709,           0.0049957,            0.006634,            0.006634,            0.006634
                  70,            0.031406,            0.018152,           0.0028085,             0.76444,             0.76855,             0.77803,             0.48241,            0.031488,            0.012788,           0.0045703,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031109,            0.017777,           0.0026325,             0.75153,             0.79819,             0.78229,              0.4936,            0.031516,            0.012687,           0.0039083,            0.006535,            0.006535,            0.006535
                  72,            0.031098,             0.01792,           0.0027403,             0.77072,             0.78894,             0.78847,             0.48982,            0.031864,            0.012613,           0.0046287,           0.0064855,           0.0064855,           0.0064855
                  73,            0.031022,            0.018047,           0.0025394,             0.76227,              0.7881,             0.78928,             0.49447,            0.032044,            0.012642,           0.0042864,            0.006436,            0.006436,            0.006436
                  74,            0.030943,            0.017948,           0.0026808,             0.78208,             0.77447,             0.78219,             0.48907,            0.032027,            0.012744,           0.0043701,           0.0063865,           0.0063865,           0.0063865
                  75,            0.030571,            0.017728,           0.0027437,             0.76987,             0.78854,             0.78833,             0.49612,            0.031466,            0.012779,           0.0044324,            0.006337,            0.006337,            0.006337
                  76,            0.030883,            0.017847,           0.0027246,             0.76031,             0.78382,             0.78737,             0.49395,            0.030932,            0.012745,            0.004353,           0.0062875,           0.0062875,           0.0062875
                  77,            0.030683,            0.017669,           0.0024132,             0.76396,             0.77442,             0.78749,             0.49641,            0.031342,            0.012682,           0.0048979,            0.006238,            0.006238,            0.006238
                  78,            0.030562,            0.017651,           0.0026297,             0.77082,             0.79695,             0.79686,             0.49501,            0.031341,            0.012663,           0.0045871,           0.0061885,           0.0061885,           0.0061885
