               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04369,             0.02886,             0.00727,              0.7707,             0.65925,             0.71421,             0.41071,            0.038724,            0.018029,           0.0079124,            0.007624,            0.007624,            0.007624
                  38,            0.042961,            0.028174,           0.0067393,             0.73891,             0.70307,             0.75724,             0.44266,            0.037264,            0.017605,           0.0051081,            0.007558,            0.007558,            0.007558
                  39,            0.042988,            0.028543,            0.006758,              0.7115,             0.69739,             0.73611,             0.41906,            0.039804,            0.018143,           0.0044232,            0.007492,            0.007492,            0.007492
                  40,            0.042541,            0.028955,           0.0064904,             0.75254,             0.70027,             0.75239,             0.42959,            0.037539,            0.017854,           0.0069025,            0.007426,            0.007426,            0.007426
                  41,            0.042093,            0.027652,           0.0065734,             0.73598,             0.70005,             0.74676,              0.4344,            0.037938,            0.017772,           0.0052893,             0.00736,             0.00736,             0.00736
                  42,             0.04182,            0.028137,           0.0062342,              0.7719,             0.69501,             0.76062,             0.44772,             0.03829,            0.017725,           0.0047699,            0.007294,            0.007294,            0.007294
                  43,            0.042048,            0.027149,           0.0062277,             0.69636,             0.74045,             0.76594,             0.45218,            0.036913,            0.017387,           0.0051343,            0.007228,            0.007228,            0.007228
                  44,            0.042351,            0.027557,           0.0064085,             0.74993,             0.72784,             0.76039,             0.45726,            0.037829,            0.017154,           0.0047904,            0.007162,            0.007162,            0.007162
                  45,            0.041179,            0.026904,           0.0062793,             0.78741,             0.71343,             0.77766,             0.45718,            0.036992,            0.017809,           0.0032134,            0.007096,            0.007096,            0.007096
                  46,            0.041672,            0.027673,           0.0058382,             0.74663,             0.70054,              0.7739,             0.43357,            0.036693,            0.017648,           0.0036217,             0.00703,             0.00703,             0.00703
                  47,            0.040858,            0.027564,           0.0056052,             0.74203,             0.73301,             0.77842,             0.45429,            0.037153,            0.017145,           0.0036038,            0.006964,            0.006964,            0.006964
                  48,            0.040549,            0.027787,           0.0051543,              0.7955,             0.71771,             0.79119,             0.48579,            0.036375,            0.016991,           0.0037589,            0.006898,            0.006898,            0.006898
                  49,            0.040254,            0.026184,           0.0053321,             0.71519,             0.72358,             0.76091,             0.45277,            0.037252,            0.017437,            0.005177,            0.006832,            0.006832,            0.006832
                  50,            0.040666,            0.026368,            0.005389,              0.7887,             0.71515,               0.792,             0.47782,            0.036077,            0.016963,           0.0036379,            0.006766,            0.006766,            0.006766
                  51,            0.040274,            0.026567,           0.0051441,             0.75651,             0.72348,             0.80374,             0.45896,             0.03736,            0.017083,            0.003736,              0.0067,              0.0067,              0.0067
                  52,            0.039933,            0.026528,           0.0049702,             0.78357,             0.73304,             0.79371,             0.49093,            0.035357,             0.01657,            0.002966,            0.006634,            0.006634,            0.006634
                  53,            0.039733,            0.025879,           0.0052122,             0.75029,             0.73796,             0.78739,             0.48625,            0.035462,            0.017031,           0.0034028,            0.006568,            0.006568,            0.006568
                  54,            0.039138,            0.026338,            0.004543,             0.78107,             0.74102,             0.80884,             0.50188,            0.034651,            0.016384,            0.002895,            0.006502,            0.006502,            0.006502
                  55,            0.039543,            0.026631,           0.0044839,             0.75187,             0.72744,             0.78102,              0.4711,            0.036212,            0.017085,           0.0043475,            0.006436,            0.006436,            0.006436
                  56,            0.039408,            0.026411,           0.0044258,             0.75516,             0.76843,             0.79705,             0.47663,            0.035485,            0.016887,           0.0027543,             0.00637,             0.00637,             0.00637
                  57,            0.038752,            0.025859,           0.0045131,              0.7861,             0.77708,             0.81693,             0.50517,            0.034777,            0.016243,           0.0029292,            0.006304,            0.006304,            0.006304
                  58,             0.03857,            0.026239,           0.0046817,             0.78792,              0.7556,             0.81008,             0.50406,            0.034906,            0.016281,            0.003119,            0.006238,            0.006238,            0.006238
                  59,            0.038168,            0.025843,           0.0044356,             0.80421,             0.75366,             0.82431,             0.50918,            0.034283,            0.016443,           0.0031083,            0.006172,            0.006172,            0.006172
                  60,            0.038209,            0.025466,           0.0044747,              0.7621,             0.74615,             0.80031,             0.47916,            0.035182,            0.016739,            0.003482,            0.006106,            0.006106,            0.006106
                  61,            0.038397,              0.0259,            0.004153,             0.79057,             0.75374,             0.81683,              0.5122,            0.034156,            0.016181,           0.0029404,             0.00604,             0.00604,             0.00604
                  62,            0.037969,             0.02619,           0.0043809,             0.77996,             0.77525,             0.82381,             0.50003,            0.034127,             0.01607,           0.0027342,            0.005974,            0.005974,            0.005974
                  63,            0.037612,            0.026105,           0.0042709,             0.77123,             0.76086,                0.82,              0.4988,            0.035399,            0.016246,           0.0028878,            0.005908,            0.005908,            0.005908
                  64,            0.037477,            0.024935,           0.0042181,              0.7601,             0.76436,             0.81104,             0.50551,            0.034197,            0.016347,           0.0025798,            0.005842,            0.005842,            0.005842
                  65,            0.037512,             0.02575,           0.0038232,              0.7216,             0.79675,              0.8172,             0.49115,            0.035024,            0.016679,           0.0028621,            0.005776,            0.005776,            0.005776
                  66,              0.0374,            0.025349,            0.004118,             0.75753,             0.79015,              0.8293,             0.51718,            0.033711,            0.015852,           0.0027594,             0.00571,             0.00571,             0.00571
